time            X               S               e2              Y               L              
9.198396794e+01 6.256360319e+00 6.256360319e+00 1.528043981e-03 3.742111637e+00 3.742111637e+00
9.258517034e+01 6.241094036e+00 6.241094036e+00 1.520593607e-03 3.757385370e+00 3.757385370e+00
9.318637275e+01 6.225902066e+00 6.225902066e+00 1.513198557e-03 3.772584736e+00 3.772584736e+00
9.378757515e+01 6.210783866e+00 6.210783866e+00 1.505857612e-03 3.787710277e+00 3.787710277e+00
9.438877756e+01 6.195738900e+00 6.195738900e+00 1.498570432e-03 3.802762530e+00 3.802762530e+00
9.498997996e+01 6.180766637e+00 6.180766637e+00 1.491336724e-03 3.817742026e+00 3.817742026e+00
9.559118236e+01 6.165866551e+00 6.165866551e+00 1.484156244e-03 3.832649293e+00 3.832649293e+00
9.619238477e+01 6.151038121e+00 6.151038121e+00 1.477028796e-03 3.847484851e+00 3.847484851e+00
9.679358717e+01 6.136280835e+00 6.136280835e+00 1.469950589e-03 3.862249215e+00 3.862249215e+00
9.739478958e+01 6.121594180e+00 6.121594180e+00 1.462922410e-03 3.876942898e+00 3.876942898e+00
9.799599198e+01 6.106977651e+00 6.106977651e+00 1.455943565e-03 3.891566405e+00 3.891566405e+00
9.859719439e+01 6.092430747e+00 6.092430747e+00 1.449013112e-03 3.906120240e+00 3.906120240e+00
9.919839679e+01 6.077952971e+00 6.077952971e+00 1.442130028e-03 3.920604899e+00 3.920604899e+00
9.979959920e+01 6.063543833e+00 6.063543833e+00 1.435293199e-03 3.935020874e+00 3.935020874e+00
1.004008016e+02 6.049202839e+00 6.049202839e+00 1.428512699e-03 3.949368648e+00 3.949368648e+00
1.010020040e+02 6.034929508e+00 6.034929508e+00 1.421786644e-03 3.963648705e+00 3.963648705e+00
1.016032064e+02 6.020723373e+00 6.020723373e+00 1.415097197e-03 3.977861530e+00 3.977861530e+00
1.022044088e+02 6.006583952e+00 6.006583952e+00 1.408458228e-03 3.992007589e+00 3.992007589e+00
1.028056112e+02 5.992510779e+00 5.992510779e+00 1.401865484e-03 4.006087355e+00 4.006087355e+00
1.034068136e+02 5.978503390e+00 5.978503390e+00 1.395319240e-03 4.020101291e+00 4.020101291e+00
1.040080160e+02 5.964561324e+00 5.964561324e+00 1.388817805e-03 4.034049858e+00 4.034049858e+00
1.046092184e+02 5.950684125e+00 5.950684125e+00 1.382362055e-03 4.047933513e+00 4.047933513e+00
1.052104208e+02 5.936871342e+00 5.936871342e+00 1.375951371e-03 4.061752706e+00 4.061752706e+00
